1,『It is not a dream.』 -夢じゃない-,1,1,all,ロケット燃料★21,秋★枝　他,20051230
2,紅白黒,1,1,all,双月亭,如月亮,20060521
3,地上の兎と月の民,1,1,all,パパンの小部屋,たつき,20060702
4,あつい,1,10,all,ダイオキシン,,20070817
5,それはまるで恋のようで,1,1,all,,西梅田あびこ　アジアン兄貴ジェネレーション,20070818
6,少恕ノ心,1,1,all,NURSERYTALE,山根真人,20071231
7,パチュリーってばおまーせさん！,1,10,all,うつらうららか,えれっと,20080615
8,H2O,1,1,all,StrangeChameleon,水鏡ひより　氷坂透,20081005
9,おおきく振りかぶったらボキボキっていった。,1,1,all,Hellfragrance,空木あんぐ,20081229
10,見知らぬ国のりんごたち,1,1,all,LETRA,滝太郎,20081229
11,お前たちにさとり様の友達になる権利をやろう！,1,1,all,ジツジノクマアナ,執事クマ　バンブー,20090308
12,Twinkle Twinkle,1,12,all,フロンティア編集部,合同本参加者,20090621
13,Be in a Gravity,1,2,all,EnHANCE HEART,六羽田トモエ,20090815
14,紅×黒,1,1,all,アカシア・コミックス,銀一,20090815
15,東方アクロバティカいち弐3,1,10,all,ウモ屋,俺と海,20091011
16,東方アドベンチャー　下,1,1,all,厨二病棟,ぱげらった,20091011
17,ローリングジェット南無サンダー,1,1,all,StrangeChameleon,水鏡ひより　氷坂透,20091025
18,あめあめふれふれ,1,1,all,蒼空市場,蒼,20091230
19,沢山南無三白蓮さん。,1,10,all,happyflametime.,春夏アキト,20091230
20,日本の夜明けモコ,1,1,all,あみだ屑,,20091230
21,ジャーナリストあやや,1,1,all,石切場,両神了,20091230
22,平安京デロリアン,1,1,all,徒歩2分,茶戸,20100314
23,小さな恋の歌2,1,1,all,カスタムサイズ,櫻井マコト,20100627
24,水道水で飼育しないでください。,1,1,all,LETRA,滝太郎,20100814
25,東方靴下本④,1,3,r18,嘘つき屋,大嘘,20100814
26,モミアゲとれた,1,1,all,地獄駄目人間＋魚,コーポ かつお,20100814
27,シュトルムウントドラング,1,1,all,LETRA,滝太郎,20100911
28,殺したい男が出来ました。,1,1,all,,矢本堂落書市,20101011
29,小さな恋の歌,1,1,all,カスタムサイズ,櫻井マコト,20101011
30,地底ロイヤルサービスタイム,1,1,all,Rainbow Vanilla,祭唄,20101221
31,えくすてんどのかけらをあつめたら３,1,1,all,もいすちゃー,マイク　マカロニ大佐,20101230
32,平安京ALL STARS!!,1,1,all,ヘルメットが直せません,大出長介,20101230
33,こっちむいて　ゆかまり！,1,1,all,カナリアとつばめ,はやかわトリノネ,20110313
34,まりまり。 #ERLOAD,1,1,all,ヘルメットが直せません　他,大出長介　水中花火,20110313
35,油絵で描く東方Project,1,2,all,テレピン1000ml,蒲谷 カバヂ,20130526
36,こちら香霖堂 博麗神社に降りる夜,1,1,all,,上万　上向だい,20130526
37,東方幻想画報　詩片I,1,2,all,虎の穴(公式),,20130526
38,小野塚婚活はじめました！,1,1,all,ナモミの社,ナモミ,20130812
39,こちら香霖堂 -イシコトバ-,1,1,all,,上万　上向だい,20130812
40,小さな恋の歌4,1,1,all,カスタムサイズ,櫻井マコト,20130812
41,艦風日和,2,1,all,GUMP,杜講一郎×佐倉朱美,20130916
42,東方麗画集　堀川雷鼓?RAIKO?,1,2,all,あーばんナイト,合同本参加者,20131110
43,東方麗画集　鬼人正邪?SEIJA?,1,2,all,あーばんナイト,合同本参加者,20131110
44,東方麗画集　秦こころ?KOKORO?,1,2,all,あーばんナイト,合同本参加者,20131110
45,東方麗画集　聖白蓮?BYAKUREN?,1,2,all,あーばんナイト,合同本参加者,20131110
46,東方麗画集　物部布都?FUTO?,1,2,all,あーばんナイト,合同本参加者,20131110
47,艦隊くえすちょんvol.1,2,1,all,うずまきひよこ,わたのれ,20131223
48,純情エキセントリックハニーフェイス,1,1,all,Rainbow Vanilla,祭唄,20131230
49,試製加古SP,2,1,all,KONTIKUSYOU,小竹ひろのり,20131230
50,簡単で有効な仲間獲り方!!,2,1,all,Candy Club,スカイ,20131231
51,over Quantum Mechanics Rainbow 01,2,1,all,SEQMED,ユメのオワリ,20140119
52,曙さんとクソ提督,2,1,all,ぽんじゆうす？,シノ,20140321
53,艦隊くえすちょんvol.2,2,1,all,うずまきひよこ,わたのれ,20140417
54,over Quantum Mechanics Rainbow 02,2,1,all,SEQMED,ユメのオワリ,20140429
55,よくわかる　秘封Excel教本　入門編,1,13,all,Over Action!!,深海ねころじー,20140511
56,かわさきっこ,2,2,all,膣からレバー,しせい,20140601
57,艦隊くえすちょんvol.3,2,1,all,うずまきひよこ,わたのれ,20140809
58,曙さんとクソ提督２,2,1,all,ぽんじゆうす？,シノ,20140815
59,慧音先生の情報リテラシー講座,1,13,all,Over Action!!,深海ねころじー,20140816
60,パチュニスト,1,1,r18,あーね,鬼灯しあ,20140816
61,深相究明ポーカーフェイサー,1,1,all,Organ Derwaid,森家,20140816
62,over Quantum Mechanics Rainbow 03,2,1,all,SEQMED,ユメのオワリ,20140817
63,over Quantum Mechanics Rainbow 04,2,1,all,SEQMED,ユメのオワリ,20140817
