1,『It is not a dream.』 -夢じゃない-,1,1,all,ロケット燃料★21,秋★枝　　他,2005,12,30
2,紅白黒,1,1,all,双月亭,如月亮,2006,5,21
3,地上の兎と月の民,1,1,all,パパンの小部屋,たつき,2006,7,2
4,あつい,1,10,all,ダイオキシン,-,2007,8,17
5,それはまるで恋のようで,1,1,all,-,西梅田あびこ　アジアン兄貴ジェネレーション,2007,8,18
6,少恕ノ心,1,1,all,NURSERYTALE,山根真人,2007,12,31
7,パチュリーってばおまーせさん！,1,10,all,うつらうららか,えれっと,2008,6,15
8,H2O,1,1,all,StrangeChameleon,水鏡ひより　氷坂透,2008,10,5
9,おおきく振りかぶったらボキボキっていった。,1,1,all,Hellfragrance,空木あんぐ,2008,12,29
10,見知らぬ国のりんごたち,1,1,all,LETRA,滝太郎,2008,12,29
11,お前たちにさとり様の友達になる権利をやろう！,1,1,all,ジツジノクマアナ,執事クマ　バンブー,2009,3,8
12,Twinkle Twinkle,1,12,all,フロンティア編集部,合同本参加者,2009,6,21
13,Be in a Gravity,1,2,all,EnHANCE HEART,六羽田トモエ,2009,8,15
14,紅×黒,1,1,all,アカシア・コミックス,銀一,2009,8,15
15,東方アクロバティカいち弐3,1,10,all,ウモ屋,俺と海,2009,10,11
16,東方アドベンチャー　下,1,1,all,厨二病棟,ぱげらった,2009,10,11
17,ローリングジェット南無サンダー,1,1,all,StrangeChameleon,水鏡ひより　氷坂透,2009,10,25
18,あめあめふれふれ,1,1,all,蒼空市場,蒼,2009,12,30
19,沢山南無三白蓮さん。,1,10,all,happyflametime.,春夏アキト,2009,12,30
20,日本の夜明けモコ,1,1,all,あみだ屑,-,2009,12,30
21,ジャーナリストあやや,1,1,all,石切場,両神了,2009,12,30
22,平安京デロリアン,1,1,all,徒歩2分,茶戸,2010,3,14
23,小さな恋の歌2,1,1,all,カスタムサイズ,櫻井マコト,2010,6,27
24,水道水で飼育しないでください。,1,1,all,LETRA,滝太郎,2010,8,14
25,東方靴下本④,1,3,r18,嘘つき屋,大嘘,2010,8,14
26,モミアゲとれた,1,1,all,地獄駄目人間＋魚,コーポ かつお,2010,8,14
27,シュトルムウントドラング,1,1,all,LETRA,滝太郎,2010,9,11
28,殺したい男が出来ました。,1,1,all,-,矢本堂落書市,2010,10,11
29,小さな恋の歌,1,1,all,カスタムサイズ,櫻井マコト,2010,10,11
30,地底ロイヤルサービスタイム,1,1,all,Rainbow Vanilla,祭唄,2010,12,21
31,えくすてんどのかけらをあつめたら３,1,1,all,もいすちゃー,マイク　マカロニ大佐,2010,12,30
32,平安京ALL STARS!!,1,1,all,ヘルメットが直せません,大出長介,2010,12,30
